source,contract,tx_hash,status,method,block_number,timestamp_utc,top_level_caller,target,internal_caller,internal_target,value,trace_source_provider_type
basescan_quick_export,SpendPermissionManager,0x8dc359d922ba8e45b6be64c4b9cceacd40e9449ddd232ab8bbac8f90a6c5fc6d,Success,Spend,47312541,2026-06-14 05:20:29,0x26610fcb052695A790EEbe82cde5ff504D1CD84A,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x5dfddf200df06bec0515f7f1b6208f0b0e3dcf172df908c8f2e6499898f1a505,Error in Internal Txn : execution reverted,Approve With Signature,47314504,2026-06-14 06:25:55,0x462A3a860D00824a3Ff194F164C8D49C080F865F,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x7fdc7a565e2a30df8c0cbb8594e222d165f532fb375ac7de9df58926218180aa,Success,Spend,47314510,2026-06-14 06:26:07,0x462A3a860D00824a3Ff194F164C8D49C080F865F,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x2358b4eec8c468007648ff4e4aa8ed536c8973b8cc6fc8cc6e2231f75f95f2d3,Success,Spend,47314552,2026-06-14 06:27:31,0x462A3a860D00824a3Ff194F164C8D49C080F865F,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0xb374445e19d1193779fee71e69bbc23a9611d8bc799c311092f637d96bdf8541,Error in Internal Txn : execution reverted,Approve With Signature,47316604,2026-06-14 07:35:55,0x117b179A1A4b6Fc665246bd21D201161CB014359,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0xf1ce6b79665bc4b27d864718423b34e80cb55584d8e9edc4c46214bc985780b0,Success,Spend,47316611,2026-06-14 07:36:09,0x117b179A1A4b6Fc665246bd21D201161CB014359,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x1dca9aeab89cb83935f28e25af19b18475a97e21287b102e69cab17834522292,Error in Internal Txn : execution reverted,Approve With Signature,47316700,2026-06-14 07:39:07,0xA2E9B7b5505124eEB65f0e904E7254be2F769638,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0xc8b8f1fe4b0c4f423ecd7c5cd82dc6fab094e9db7848bc274eede8cf91ab9a1c,Success,Spend,47316707,2026-06-14 07:39:21,0xA2E9B7b5505124eEB65f0e904E7254be2F769638,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x671ae92fbc09e6c8e5c1cfa127bdadb02480a6c13b8639fab07648e8f6eb736b,Error in Internal Txn : execution reverted,Approve With Signature,47316766,2026-06-14 07:41:19,0xCC41f3025c7F8057142057B13C9B1615a15386fE,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x7045cd4afebc5f55b206c1b85a1663dd7f327e6bfbece61bd71f30b1833576ec,Success,Spend,47316773,2026-06-14 07:41:33,0xCC41f3025c7F8057142057B13C9B1615a15386fE,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0xa1e57e78c588d0b0ec917b13c66cbfae35c0f9fb743f9e1765abce15f2a8f841,Error in Internal Txn : execution reverted,Approve With Signature,47317409,2026-06-14 08:02:45,0x2Bc3EC320eBc5e64c66df49c7Ac2fef0110Dd7A3,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0xed69da8ab533264739add1b826fa5505765dc958e0a22d8cf2fd9e429d1410aa,Success,Spend,47317415,2026-06-14 08:02:57,0x2Bc3EC320eBc5e64c66df49c7Ac2fef0110Dd7A3,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x90c0ce22a9510b537038ba55f03383cf176ad8ef820521e1e7074bfbf7af9891,Error in Internal Txn : execution reverted,Approve With Signature,47318063,2026-06-14 08:24:33,0xE1FB11bf84256fd2cB8abc5BF6EC0d3e5e293F7d,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0xcb5dbbaab2fdd837cdab5a398962697ffef559282a8bebbd12f25ea31064814d,Success,Spend,47318069,2026-06-14 08:24:45,0xE1FB11bf84256fd2cB8abc5BF6EC0d3e5e293F7d,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0xc9eba51aa07bfd244c230cd2a8bd9f031381278302809fcea70d50c65d8105d8,Error in Internal Txn : execution reverted,Approve With Signature,47319612,2026-06-14 09:16:11,0xC8B1bF28bF360f97C23A7a0f1425A267F7E7977e,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x1716a2d55a8ae010fe766d38667def05001617f3c63de582706684e5045ad396,Success,Spend,47319618,2026-06-14 09:16:23,0xC8B1bF28bF360f97C23A7a0f1425A267F7E7977e,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x2e17b7d41d80db1d81103c5335afbb2c8b05d240cd81a7b1dbb581bbcc984926,Success,Spend,47320929,2026-06-14 10:00:05,0xd146c09C52e6Fee47eA069Db12bC73c576b5680e,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x063109d8b50ca8384d17cd980173afacac58016c042c759716a2baa6dcf5d5e1,Error in Internal Txn : execution reverted,Approve With Signature,47321161,2026-06-14 10:07:49,0x4e27496EbEfd0a4E8642b961f48fa8d337323a66,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x4f3dbf588d8d3ae33d6371a76d667f3fb451f407ea3ec7305d527e840a0074af,Success,Spend,47321166,2026-06-14 10:07:59,0x4e27496EbEfd0a4E8642b961f48fa8d337323a66,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x90ce1936f2423325ddcc7ee72bea86369ebf18c73ce85139671e003084f57871,Error in Internal Txn : execution reverted,Approve With Signature,47322589,2026-06-14 10:55:25,0x8586EA193558a9daCb10766f350c18D10a41344F,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x8e911d58b93dd43156dbb444fed334ff5a537523373b3a115c6a9da9bc82298b,Success,Spend,47322595,2026-06-14 10:55:37,0x8586EA193558a9daCb10766f350c18D10a41344F,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x7913cb60c5d6fa4d9e203a6f6108140e9b06f87cfbf4d26ed68573b9da9fd422,Error in Internal Txn : execution reverted,Approve With Signature,47324834,2026-06-14 12:10:15,0xdC55b00438a392Ab067379C7c59FD049912BE330,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
basescan_quick_export,SpendPermissionManager,0x72778c97badbc66b2353447e244cde6f6aeb72a352799ca52995928c61b499c8,Success,Spend,47324840,2026-06-14 12:10:27,0xdC55b00438a392Ab067379C7c59FD049912BE330,0xf85210B21cC50302F477BA56686d2019dC9b67Ad,,,0 ETH,basescan_html_tx_table
